Address|ProjectDescription|PermitNumber
4480 KASLO STREET, Vancouver, BC V5R 2B7|"High Density Housing / Commercial - New Building - To construct a 3 storey modular short term building containing 52 dwelling units and an amenity area with a commercial kitchen.

Class-1 Cooking operation

All site built elements to be inspected by COV inspectors.
Site work identified;
-foundation
-services
-kitchen exhaust shaft, exhaust fan and exterior Make up air unit installation
-main trusses are modular but site installed above the top floor modules.
-cladding at all intersections of the modules
-exterior stairs at exits
-interior drywall at interconnections
-interconnections of all interior systems, electrical, fire alarm, plumbing, sprinklers
-interior drop ceilings in corridors and common areas, with related electrical and detection systems
-landscaping"|BP-2018-00948
7430 HEATHER STREET, Vancouver, BC V6P 0H4|High Density Housing / Commercial - New Building - To errect a 3-storey Short Term (5 to 10 years) modular housing building containing 39 Social Housing units. This permit is a spin off to BP-2017-05710.|BP-2017-05712
3090 E 54TH AVENUE, Vancouver, BC V5S 1Y5|"Certified Professional Program - New Building - To construct a 6 storey mixed-use building containing a new Fire Hall on the first 2 storeys and 4 storeys of residential above providing Social Housing with 31 units, with one level of underground parking having vehicular access from the lane.

NOTE: Fire truck shall not obstruct pedestrian sidewalk at any time.
         Approved Safety Procedure and Plan must be posted in the Aparatus Bay and followed when the apparatus is parked on the apron.

Stage 1- (Excavation)                                    -  17-Aug-2016
Stage 2- (Foundation to grade, structural only)  -  07-Oct-2016
Stage 3 -(Full Construction)                            -  12-Jan-2017

Related to AL-2016-00282.

Revision#1 - 01-Apr-2019 /tn
Effective May 15, 2015 Mr. Kai-Sing Hui, P. Eng assumed responsibility of professional of record responsible for Geotechnical discipline. The following documents have been provided:
1. Change in Geotech EOR letter.
2. Revised Project Directory to reflect replacement Engineer.
3. Revised Schedule B under K.S.Hui's seal.

Revision#2 - 20-Nov-2019 /tn
Change of Building Envelope Engineer of Record.
Effective December 5th, 2017  Mr. Alan Bowden, P. Eng. took over responsibilities as the Building Envelope Professional for this project.
Revised project directory, Schedule D1, and Letter from the incoming Envelope Engineer on file."|BU467505
1101 W 7TH AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new five-storey multiple dwelling containing a total of four dwelling units over one level of underground parking providing 8 parking spaces having vehicular access from the lane.
To construct retaining walls to support elevated grades at the west end and north end of the lane extension.

Engineering Services Conditions of Permit issuance:
1) Prior-to the start of excavation in the lane and any work that will disturb the existing sewer drainage for 1111 W 7th and for Chocklit park the permit holder is to receive approval of the sewer civil design drawings.

2) Prior-to the start of excavation in the lane the permit holder is to receive approval of the  street civil design drawings from Engineering Services.

13- Jan-2017 -  Stage 1 (excavation and shoring only ) released.

Revision #1 - 26-Jan-2017- tn
Okay to excavate in the lane per Kevin Cavell - 20-Jan-2017.
26-Jan-2017 - Stage 2 (Full Structural) released.

Revision#2 - 03-Apr-2017 - tn
Changes to Excavation/ Shoring Design Drawings  as approved by Engineering. All changes are clouded on the following drawings: G-S-1: G-S2B; G-S5; G-1-B; G-2.

Stage 3 - Full Construction issued February 6, 2018
To change the Mechanical and Electrical Consultants.

January 08, 2019 tn
Revision#3 
To add Architectural Details to the Stage 3 Architectural drawings."|BU467658
3795 COMMERCIAL STREET, Vancouver, BC V5N 4G1|"High Density Housing / Commercial - New Building - To construct a four-storey mixed-use building containing Retail (E) and Office (D) on the 1st storey and 9 dwelling units (secured-market rental approved under the Rental 100 Program) on the 2nd to 4th storey with 3 surface parking spaces provided
at the rear having vehicular access from the lane.
Address Note: 3791 Commercial St - 1st storey
              3795 Commercial St - residential lobby 1st-4th storey
              3797 Commercial St - 1st storey
CONTACT CRP:  Ben Checkwitch, Checkwitch Poiron Architects Inc., 604.669.3444
Applicant:  Mark Stephenson, 604.716.0082
E-mail:  mark.stephenson@Qubebuildings.com
O/T request form has been received.

The permit converted from PRISM

Revision #1 - structural design changes only - approved on Mar.14, 2017
Revision #2 - Updated waterproofing and assembly details - approved on Jun 19, 2017
Revision #3 - various minor changes to match construction work - approved Sep. 07, 2017
Revision #4 - Change exterior finish material - approved Mar.26, 2018"|BU467787
1018 PARK DRIVE, Vancouver, BC V6P 2J5|"Certified Professional Program - New Building - This permit has been issued for all site work and below grade facilities including one level common underground parking for the propose development: - To develop seven 2-1/2-storey multiple dwelling buildings containing a total of 40 dwelling units all over one level of underground parking providing a total of 61 parking spaces having vehicular access from the lane to the south (off Oak Street)    

*Additional Address Info cont'd:  7829,7833,7887,7889,7923,7933,7949,7969 Oak St

Building 1 (Southeast Building)- BU468735
Building 2 (Ease Centre Building)- BU468736
Building 3 (Northeast Building)- BU468737
Building 4 (Northwest Building)- BU468738
Building 5 (Northwest Centre Building)- BU468739
Building 6 (Southwest Centre Building)- BU468740
Building 7 (Southwest Building)- BU468741


THIS IS A CERTIFIED PROFESSIONAL PROJECT FOR:Richard Lau,P.Eng,CP
Camphora Engineering  T: 604.800.9822

The permit converted from PRISM
Stage #1 - excavation and shoring only - issued on Mar.02, 2017
Stage #2 - full construction - issued on Jun.15, 2017

Revision #1 - Minor layout amendment as per DP-2019-00152-  - issued May 22, 2019"|BU468678
1018 PARK DRIVE, Vancouver, BC V6P 2J5|"Certified Professional Program - New Building - To develop a 2-1/2-storey multiple dwelling buildings containing a total of 40 dwelling units all over one level of underground parking providing a total of 61 parking spaces having vehicular access from the lane to the south (off Oak Street)    
Building 4 (Northwest Building)- BU468738
see site permit BU468678 for details

THIS IS A CERTIFIED PROFESSIONAL PROJECT FOR:Richard Lau,P.Eng,CP
Camphora Engineering  T: 604.800.9822

The permit converted from PRISM
Stage #1 - excavation and shoring only - issued on Mar.02, 2017
Stage #2 - full construction - issued on Jun.15, 2017"|BU468738
7883 OAK STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To develop a 2-1/2-storey multiple dwelling buildings containing a total of 40 dwelling units all over one level of underground parking providing a total of 61 parking spaces having vehicular access from the lane to the south (off Oak Street)    
Building 6 (Southwest Centre Building)- BU468740
see site permit BU468678 for details

THIS IS A CERTIFIED PROFESSIONAL PROJECT FOR:Richard Lau,P.Eng,CP
Camphora Engineering  T: 604.800.9822

The permit converted from PRISM
Stage #1 - excavation and shoring only - issued on Mar.02, 2017
Stage #2 - full construction - issued on Jun.15, 2017"|BU468740
7901 OAK STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To develop a 2-1/2-storey multiple dwelling buildings containing a total of 40 dwelling units all over one level of underground parking providing a total of 61 parking spaces having vehicular access from the lane to the south (off Oak Street)    
Building 7 (Southwest Building)- BU468741
see site permit BU468678 for details

THIS IS A CERTIFIED PROFESSIONAL PROJECT FOR:Richard Lau,P.Eng,CP
Camphora Engineering  T: 604.800.9822

The permit converted from PRISM
Stage #1 - excavation and shoring only - issued on Mar.02, 2017
Stage #2 - full construction - issued on Jun.15, 2017"|BU468741
2232 E 1ST AVENUE, Vancouver, BC|"Certified Professional Program - New Building - To construct a new multifamily residential building ( Building 4) containing 9 dwelling units. 

Related to BP-2020-01736
This Permit was reviewed under the VBBL 2019.

14-June-2022 - Stage 1 (excavation and shoring) issued."|BP-2021-04400
2085 E 1ST AVENUE, Vancouver, BC|"Certified Professional Program - New Building - To  construct Building 3 (East ) (4-storey residential building), containing 8 townhomes and one retail unit. 

Building 3 is part of a larger development consisting of 3 multi-family, 4-storey residential buildings on top of an underground parkade. 

Block 1 - 7 units (2073 E 1st Av) - BP-2021-00911
Block 2 - 9 units (2075 E 1st Av) - BP-2021-00912
Block 3 - 8 units & one retail unit (2085 E 1st Av)
- BP-2021-00913

Related to BP-2020-01550 (Site permit) 

Stage I  (Excavation & Shoring)  Issued 22-Mar-2022
Stage II (Str to grade&underground plumbing works) issued 14- Sep-2022"|BP-2021-00913
375 GLEN DRIVE, Vancouver, BC|"Certified Professional Program - New Building - To construct a 16 storey (15 storeys Z&D) mixed use building containing 
1st storey (Level P1) - storage, building services and loading area,
2nd to 3rd storeys (L1 to L2) - Social Service Centre (w/ shelter) and ancillary Bike Repair Shop – Class B (2nd storey) and Retail (3rd storey + mezz.), and two 3-storey townhouse dwelling units, entrance from Glen Dr., at 2nd storey (L1)
West side of building:
4th to 5th storeys - 25 dwelling units of supportive housing
6th to 15th storeys - 87 dwelling units of affordable housing
16th storey - Amenity space
East side of building:
5th storey to 13th storeys - 56 dwelling units of secured market rental housing
14th storey - Amenity space,
all over 2 levels of underground parking access from lane.

There is a continuous 2 hour fire separation between West side and East side of the building.
Firefighting Response Points located at 
- 375 Glen Dr - market rental lobby
- 1045 E Hastings St - affordable rental lobby

This permit has been reviewed under the 2019 Vancouver Building By-law (#12511).  
Building to be sprinklered to NFPA 13 requirements.
The retail shell portions of the building is TIPs eligible at the time of construction. 

STAGE CONSTRUCTION
Stage 1 - Excavation and Shoring - issued September 16, 2022
Stage 2 - Full Construction - in review"|BP-2021-05332
1511 DAVIE STREET, Vancouver, BC V6G 3A2|"Certified Professional Program - New Building - To construct a 3 storey townhouse block containing 4 dwelling units.

This permit is related to BP-2019-04202 (see this permit for fees and site documents)

Reviewed under the 2014 VBBL

Full construction issued Dec.3/20

Permit amendment #1 - To change electrical engineer from K Pearson to S Ghataurah effective September 15/20 - accepted Feb.3/21"|BP-2019-05309
180 E 2ND AVENUE, Vancouver, BC V5T 1B5|"Certified Professional Program - New Building - To construct a 12-storey mixed use building consisting of 233 market dwelling units on levels 2 through 12, 30 non-market rental dwelling units on levels 3 through 5, industrial flex space on level 1 and 2, and retail CRUs on level 1 and 2, all over 5 levels of underground parking, having vehicular access from the lane, on this site.

STAGED CONSTRUCTION

Stage I (excavation/shoring) issued June 21, 2018.
Stage II (full structure) issued February 19, 2019.
Change in P.Eng of record (mechanical/ plumbing). Joseph Chow, P.Eng will replace Van Minh Wayne Hua. Documents received and filed. (March 11, 2109.)
Stage III (full construction) issued July 24, 2019.
Revision 1: To revise shoring design along the west property line (issued Sept.17, 2019).
Change in P.Eng of record (mechanical/ plumbing). Joseph Chow, P.Eng will be replaced by Alexander J. Boom (effective Dec.2, 2019). Documents received and filed. 
Revision 2: addition of a spray booth equipment, make-up air handling unit and associated duct-work in artist-studio (class B) unit.

Change of engineer of record responsible for building envelope (Loveleen Atwal is replacing Sophie Mercier, effective June 4, 2020. documents filed) 

Revision 3: to incorporate changes associated with the approved AL-2021-00008. 

Revision 4: To delete the commercial kitchen exhaust shaft connection at underside of level 2 slab.

Revision 5: Addressing revision to add address for a secondary fire department response point and change CRU suit numbering"|BP-2017-06401
2711 WARD STREET, Vancouver, BC V5R 4S7|"High Density Housing / Commercial - New Building - Building Permit for DP-2017-01152:
To construct a two story plus basement multiple dwelling building containing 3 dwelling units, providing 3 surface parking spaces having vehicular access from the lane at this RM-7 site.

Note: Application is reviewed under VBBL 2019."|BP-2020-02205
6810 ASH STREET, Vancouver, BC|"Certified Professional Program - New Building - Building 2 - To construct a 3 storey, 3 dwelling units for this MCD (townhouse).

This is a CP process permit and the applicant is Jan Madura, P. Eng., CP (Jensen Hughes Consulting Canada Ltd.)

NOTE: All fees have been paid under Project Site BP-2020-01972. Application documents have also all been filed under that same Project Site BP."|BP-2021-04885
6818 ASH STREET, Vancouver, BC V6P 3K4|"Certified Professional Program - New Building - Building 3 - To construct a 3 storey, 2 dwelling units for this MCD (townhouse).

This is a CP process permit and the applicant is Jan Madura, P. Eng., CP (Jensen Hughes Consulting Canada Ltd.)

NOTE: All fees have been paid under Project Site BP-2020-01972. Application documents have also all been filed under that same Project Site BP."|BP-2021-04886
6864 ASH STREET, Vancouver, BC|"Certified Professional Program - New Building - Building 9 - To construct a 2 storey, 6 dwelling units for this MCD (townhouse).

This is a CP process permit and the applicant is Jan Madura, P. Eng., CP (Jensen Hughes Consulting Canada Ltd.)

NOTE: All fees have been paid under Project Site BP-2020-01972. Application documents have also all been filed under that same Project Site BP."|BP-2021-04892
6988 ASH STREET, Vancouver, BC V6P 3K4|"Certified Professional Program - New Building - Construct a new 42-unit townhouse development consisting of 9 residential buildings (2/3 storeys in height), all located above a single level below grade storage garage having access off a lane. This project will be constructed concurrently with the adjacent site at 6818 Ash St. (same owner/developer). 

NOTE: The 2019 VBBL applies to this application which has been reviewed during the Covid-19 pandemic.

STAGED CONSTRUCTION

Related Applications:
Bldg 1 (20): BP-2021-04331 @ 6902 Ash St (5 dwelling units) 
Bldg 2 (12): BP-2021-04332 @ 6912 Ash St (5 dwelling units)
Bldg 3 (13): BP-221-04335 @ 6916 Ash St (3 dwelling units)
Bldg 4 (19): BP-2021-04336 @ 6942 Ash St (6 dwelling units)
Bldg 5 (18): BP-2021-04337 @ 6950 Ash St (5 dwelling units)
Bldg 6 (14): BP-2021-04338 @ 6962 Ash St (2 dwelling units)
Bldg 7 (15): BP-2021-04339 @ 6976 Ash St (3 dwelling units)
Bldg 8 (17): BP-2021-04340 @ 6988 Ash St (6 dwelling units)
Bldg 9 (16): BP-2021-04342 @ 557 W 54th Av (7 dwelling units)

Stage 1: Excavation & Shoring. Sept. 9/21. 
Stage 2: - Full Construction issued on June 2nd, 2022."|BP-2020-01973
557 W 54TH AVENUE, Vancouver, BC|"Certified Professional Program - New Building - (related to Site BP-2020-01973) To construct a new 3 storey residential building consisting of 7 dwelling units located on the roof slab of a a below grade storage garage. Note: the 2019 VBBL applies to this CP Process permit application which has bene reviewed during the Covid-19 pandemic.

This is a Staged Construction CP Process permit application and the CP is is Jan Madura, MSc, P. Eng. (Jensen Hughes Consulting Canada Ltd.)

 NOTE: All fees are paid under Project Site BP-2020-01973 and application documents are filed there too.

Stage 1: Excavation & Shoring. Sept. 9/21"|BP-2021-04342
1365 E 24TH AVENUE, Vancouver, BC V5V 2B6|"High Density Housing / Commercial - New Building - To construct (1) rowhouse multiple dwelling building ( Bldg. #1),  having three-storeys and three dwelling units , with attached single-car garages (3 total), having vehicular access off the North and East lanes and internal carriage courtyard. 

Bldg. #2 (Rear Bldg. 1365 E. 24th Ave.) Primary Address, BP-2021-06070.
     1365, 1369, and 1373 E.24th Ave.

Bldg.#1 (Front Bldg. 1385 E. 24th Ave.)
     Under separate permit BP-2021-06071.
     1377, 1381 and 1385 E. 24th Ave.

NOTE: ALL FILES AND DOCUMENTATIONS ARE FILED UNDER 1365 E. 24th Ave. (BP-2021-06070.)

Related to DP-2019-00797 and MA. DP-2022-00238
Note:  Consolidating lots 1349 + 1385 E 24th Av"|BP-2021-06070
5289 CAMBIE STREET, Vancouver, BC V5Z 2Z6|"Certified Professional Program - New Building - Building Permit for BP-2017-02439
To construct new 6-storey residential building"|BP-2018-06002
5189 CAMBIE STREET, Vancouver, BC V5Z 2Z6|"Certified Professional Program - New Building - Building Permit for BP-2017-02439.
To construct new 6-storey residential building"|BP-2018-06001
5259 CAMBIE STREET, Vancouver, BC V5Z 2Z6|"Certified Professional Program - New Building - Building Permit for BP-2017-02439 
To construct two 2-level town homes."|BP-2018-06004
545 E CORDOVA STREET, Vancouver, BC V6A 1L8|"Certified Professional Program - New Building - To construct a six-storey, 20 unit affordable residential housing building.
STAGED CONSTRUCTION
SHORT

Stage I : Excavation/ shoring and foundation to grade issued August 4/ 22.

Stage II: Full BP issued October24/22
Revision #1: To revise ESC drawings, issued Oct. 24/22"|BP-2022-00199
1060 W 15TH AVENUE, Vancouver, BC V6H 1R6|"High Density Housing / Commercial - New Building - 
To permit interior and exterior alterations, under a heritage revitalization
agreement, to the existing 2 storey + basement building converting it to a multiple conversion dwelling consisting of 3 dwelling units and one lock-off unit, and to construct a 2 storey, one-family infill dwelling at the rear with an attached 2 car garage and a detached one-car garage, both having vehicular access from the lane, on this site.

This permit is for heritage building and site work. Please refer BP-2017-04669 for infill building.

Addressing:  1058, 1060, 1062 and 1066 W 15th - Existing Heritage Building. 1068 W 5th - Infill unit."|BP-2017-01413
196 W 16TH AVENUE, Vancouver, BC|"High Density Housing / Commercial - New Building - To develop a two-storey multiple dwelling (Building 1) containing a total of four dwelling units on the North portion of the site and, and to develop a two-storey one family dwelling (Building 2, under separate permit) on the South portion of the site.

Building Review Notes:
- This permit is for Building 1 (4FD). All review under this permit. 
- See BP-2022-00090 for Building 2 (1FD + 2-car garage).
- Project Value: Building 1: 1,000,000, Building 2: 200,000 
- Schedule B - Structural submitted
- Building to be sprinklered to NFPA 13D.

*** Reviewed under the VBBL 2019, energy requirements as per Bylaw #12692, effective Jun 2021 ***"|BP-2022-00086
3590 W 39TH AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a 4-storey mixed-use commercial and residential building consisting 
1st storey - 4 Retail units (shell only) 
2nd to 4th storeys  - 15 dwelling units in total (7 dwelling units on 3rd storey are 2-level units)
all over 1 level of underground parking having vehicular access from the lane.

Separate tenant improvement permits are required for all shell tenant spaces.

This permit will be conforming to the 2019 Vancouver Building By-law (#12511).  
Building to be sprinklered to NFPA 13 requirements. 
The retail portion of the buildings are TIPs eligible at the time of construction.

STAGED CONSTRUCTION
Stage 1 - Foundation to Grade - issued June 3, 2022

Revision 1 - Change in CP from Mark Roozbahani, P.Eng. to Erik Watson-Hurthig, P.Eng., effective October 3, 2022. - issued October 5, 2022

Stage 2 - Full Construction - in review"|BP-2019-02781
1981 MACDONALD STREET, Vancouver, BC V6K 1M7|"Certified Professional Program - New Building - To construct a 4-storey mixed-use building consisting of:

1st storey - 1 CRU including a mezzanine (1 tenant under a separate BP)
2nd to 4th storey -  59 dwelling units; Amenity Room on Level 2

All over 2 levels of underground parking (145 parking spaces & 2 loading spaces) accessed from lane.

*This permit has been reviewed under the provisions of VBBL 2019.*
**This is a CP process and the Applicant is John Buscemi, P.Eng.**

Retail shell portions of the building are TIPs eligible at the time of construction.

STAGED CONSTRUCTION
Stage 1: Excavation & Shoring (S.Yoo, Sept. 29, 2022)"|BP-2022-02111
2435 KINGSWAY, Vancouver, BC V5R 5G9|"Certified Professional Program - New Building - Building Permit for BP-2017-05718 To develop on this site:
• a 12-storey mixed-use building consisting of 118 residential units on 
   levels 1 to 12 with 8 Retail Store units and 2 Restaurant Class 1 units 
   at the ground level all over two levels of underground parking, having vehicular access from the lane.
 
Building 1 - 12-storey building - BP-2018-03156
Building 2 - 5-storey building - BP-2018-03157

See site permit BP-2017-05718 for details.

Stage #1 - excavation and shoring - issued 2018 June 13
Stage #2 - full structural work up to roof - issued 2018-09-12
Stage #3 - full construction - issued 2019-01-04"|BP-2018-03156
4118 CAMBIE STREET, Vancouver, BC V5Z 2Y1|"Certified Professional Program - New Building - To construct a 6 storey non-combustible multiple dwelling building, containing a total of 90 dwelling units, all over two levels of underground parking, having vehicular access from the lane.

VBBL2019 - NFPA 13

Stage #1 - Excavation and Shoring issued on Sept. 23, 2022."|BP-2019-04184
2435 KINGSWAY, Vancouver, BC V5R 5G9|"Certified Professional Program - New Building - to develop on this site:

• a 12-storey mixed-use building consisting of 118 residential units on 
   levels 1 to 12 with 8 Retail Store units and 2 Restaurant Class 1 units 
   at the ground level; and
 
• a 5-storey mixed use building consisting of 14 residential units on levels 
  2 to 5  with 2 Retail store units at grade,

all over two levels of underground parking, having vehicular access from the lane.


Building 1 - 12-storey building - BP-2018-03156
Building 2 - 5-storey building - BP-2018-03157

Stage #1 - excavation and shoring - issued 2018 June 13
Stage #2 - full structural work up to roof - issued 2018-09-12
Stage #3 - full construction - issued 2019-01-04

Revision 1: Changes to Parking stalls, Bicycle Parking, Amenity Space, Residential Storage Lockers and Commercial CRU demising walls (per MA DP-2021-00602).

Revision 2: Exterior changes (ramps, planters in Plaza, trees removal) per the approved DPMA DP-2021-00897."|BP-2017-05718
7171 VICTORIA DRIVE, Vancouver, BC V5P 3Y9|"Certified Professional Program - New Building - To construct a four storey  mixed use building consisting of four commercial retail units on the first storey and 25 market residential dwelling units  ( 3 townhomes and 22 apartment units) on the first (with mezzanine above) through fourth floors with two levels of underground parking having vehicular access from the lane.

Note: This is a 5 (five) storey building per VBBL. The upper level townhouse (1995 Nassau Ave) is not count as a storey for addressing purpose only.

02-Aug-2018 -  Stage 1 (excavation and shoring) issued.
31-Jan-2019  - Stage 2 (foundation to grade) issued.
07-May-2019 - Stage 3 (Full structural) issued.
25-Sep-2019 - Stage 4 (Full BP) issued. 

Revision#1 - 25-Nov-2019 tn
Mechanical changes: to relocate all pump sumps and separators to the north along with the perimeter drainage sump.

BP Revision#2 - 14- Apr -2021
Changes to exterior and interior as outlined in Memos by the Architect and mechanical engineer.
DP Confirmation of Changes Letter on file."|BP-2017-05852
1717 LORNE STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - This permit has been issued for all site work and below grade facilities including four levels of common underground parking for the proposed development:

To construct two mixed-use towers above a common parking podium.  The podium slab will be designed as 3.2.1.2. slab.

West Building: A 11-storey mixed-use building consisting 
1st to 3rd storeys - light industrial use (shell)
4th to 11th storeys - office use (shell) 

East Building: A 13-storey mixed-use building consisting
1st storey with mezzanine - industrial flex units (shell) 
2nd to 13th storeys - 216 secured market rental dwelling units including ten 2-level units on the 12th storey.  Access to 13th storey can be via unit interior stairs and exit stair shafts, but not by elevators,

all over 4 levels of common underground parking having access from the lane. 

Refer to
BP-2021-01870 for [220 E 1st Ave] (West Building)
BP-2021-01871 for [1717 Lorne St] (East Building)
CACF will be provided at the principal entrance at each above grade building.

Separate tenant improvement permits are required for all shell tenant spaces.

This permit has been reviewed under the 2014 Vancouver Building By-law (#10908).  
Building to be sprinklered to NFPA 13 requirements.   
All office shell portions of the building are TIPs eligible at the time of construction. 

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring - issued June 27, 2022

Stage 1 Revision 1 - Revised shoring to improve structural support of the shoring walls on west side of site - issued September 20, 2022

Stage 2 - Foundation to Grade - in review"|BP-2019-04146
3833 FRASER STREET, Vancouver, BC V5V 4E3|"Certified Professional Program - New Building - To construct  a new 7-storey mixed-use combustible building consisting of:
- 1 storey - 5 CRU  units ( Groups A-2 and E) 
- 1st to 6 th storeys - 125 market rental dwelling units

all over 2 levels of underground parking. 

Note: 
1. The building is separated into 2 buildings with a firewall having 4 Hr. fire -resistance rating  at 1st & 2nd storeys  & 2 Hr. fire- resistance rating at 3rd  to 6th  storeys.
     Building A - 7 storey  
     Building B - 6 storey 
2. Refer to AL-2020-00053 to allow use of combustible construction at upper storeys. 
3. The building is designed to meet ZEBP (Level 3) Energy Standard. 

15-Oct-2020 - Stage 1  (excavation and shoring)  issued during the COVID 19 pandemic.
11-Jan-2021 - Stage 2  (full structural) issued.
19-Apr-2021 - Stage 3  (full permit)    issued. 

28-Jun-2022 - Revision#1 - issued. 
Deletion of the mezzanine level  and removal of the demising wall between the  CRU 1 and  CRU 2 (3865 and 3863 Fraser St.)."|BP-2020-01170
375 W 59TH AVENUE, Vancouver, BC V5X 1X3|"Certified Professional Program - New Building - Building Permit for BP-2017-00570 To construct a Multiple Dwelling building complex consisting of a 6-storey building (Building 1) on the north side containing 55 dwelling units and 4 lock-off units, a 4-storey building (Building 2) on the east side containing 26 dwelling units and 3 lock-off units, and a 6-storey building (Building 3) on the west side containing 39 dweling units for a total of 120 dwelling units and 7 lock-off units on this site, all above two levels of underground parking accessed from Alberta Street.

Building 1 (North Building) - BP-2017-05888
7428 Alberta St 

Building 2 (South East Building) - BP-2017-05889
375 W 59th Av 

Building 3 (South West Building) - BP-2017-05890
389 W 59th Av 


see site permit BP-2017-00570 for details

Stage #1 - full construction - issued 2017 July 31

revision # 1 - Number of units changes on the project description"|BP-2017-05889
805 W 49TH AVENUE, Vancouver, BC V5Z 2S5|"Certified Professional Program - New Building - Related to Site BP-2021-05710
To construct a 3-storey multiple dwelling building (Building 1) containing 5 dwelling units with basement having access to one level of underground parking.

Refer to Site BP-2021-05710 for site work and underground parking, fees, and all documents. 

This is a CP Process Permit and the applicant is David Steer, P. Eng., CP.

Building to be sprinklered NFPA 13. 
ZEBP Building as per 10.2.1.5.

*REVIEWED UNDER VBBL 2019, WITH UPDATED ENERGY REQUIREMENTS AS PER BYLAW #12997 EFFECTIVE JAN 01, 2022*

STAGED CONSTRUCTION
Stage 1: Excavation & Shoring. (Mar 18/22, A. Min)
Stage 2: Full Construction (May 03/22, A. Min)"|BP-2021-06890
755 W 49TH AVENUE, Vancouver, BC|"Certified Professional Program - New Building - Related to Site BP-2021-05710
To construct a 3-storey multiple dwelling building (Building 4) containing 4 dwelling units with basement having access to one level of underground parking.

Refer to Site BP-2021-05710 for site work and underground parking, fees, and all documents. 

This is a CP Process Permit and the applicant is David Steer, P. Eng., CP.

Building to be sprinklered NFPA 13. 
ZEBP Building as per 10.2.1.5.

*REVIEWED UNDER VBBL 2019, WITH UPDATED ENERGY REQUIREMENTS AS PER BYLAW #12997 EFFECTIVE JAN 01, 2022*

STAGED CONSTRUCTION
Stage 1: Excavation & Shoring. (Mar 18/22, A. Min)
Stage 2: Full Construction (May 03/22, A. Min)"|BP-2021-06900
795 W 49TH AVENUE, Vancouver, BC|"Certified Professional Program - New Building - Related to Site BP-2021-05710
To construct a 3-storey multiple dwelling building (Building 2) containing 5 dwelling units with basement having access to one level of underground parking.

Refer to Site BP-2021-05710 for site work and underground parking, fees, and all documents. 

This is a CP Process Permit and the applicant is David Steer, P. Eng., CP.

Building to be sprinklered NFPA 13. 
ZEBP Building as per 10.2.1.5.

*REVIEWED UNDER VBBL 2019, WITH UPDATED ENERGY REQUIREMENTS AS PER BYLAW #12997 EFFECTIVE JAN 01, 2022*

STAGED CONSTRUCTION
Stage 1: Excavation & Shoring. (Mar 18/22, A. Min)
Stage 2: Full Construction (May 03/22, A. Min)"|BP-2021-06898
1768 COOK STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Construction of a 17-storey multiple dwelling building containing 247 dwelling units and two levels of underground parking accessed from Cook Street on this site.
This permit has been issued for all Site Work and Below Grade facilities including 2 levels common underground parking for the proposed development.

Stage I (Excavation/Shoring) issued May 11, 2017.
Revision #1 (Stage I) - to increase the depth of excavation and change the number of underground parkade floor levels to 3. 
Stage II (Structural to Grade) issued May 29, 2018
Stage III (Full Construction) issued August 21, 2018.
Revision #2: To increase the building height from 17 to 18 storeys and the total number of units from 247 to 249. (per DPMA DP-2019-00288) issued.
Construction costs increased to 58M from 55M.

Revision #3 - Stage III per DPMA DP-2020-00641: to revise Levels 17, 18, 19 and parking layout, to add dog grooming room on P2, and to adjust bike lockers to suit site conditions. 

Revision #4-Addition of a clean agent suppression system in novus server room (P1 level).
Revision#5: Construction of 5 enclosed garages with overhead gate and separate man door"|BP-2016-02518
1463 W 8TH AVENUE, Vancouver, BC V6H 1C9|"Certified Professional Program - New Building - To construct a new 18-storey building consisting of 3 levels of underground parking, 1 four-storey masonic centre & banquet hall with 2 leased office units, 1 leased retail unit at grade, 1 restaurant at grade, and 150 affordable housing units.

STAGED CONSTRUCTION

Stage I (excavation/shoring) issued August 23, 2018.
Stage II (full construction-shell permit) issued March 15, 2019.
Stage III (fit out for Masonic Centre) issued Sept.10, 2020.

Commercial kitchen hood is replaced by a larger hood. A letter from mechanical engineer and updated K2 form submitted to reflect this change."|BP-2017-03685
